#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
373;P24530;Shallow;MACCS;;
374;P24530;Shallow;MFC;;x
375;P24530;Shallow;RDKit;;x
376;P24530;Shallow;CDDD;;
377;P24530;Deep;MACCS;;
378;P24530;Deep;MFC;;
379;P24530;Deep;RDKit;;
380;P24530;Deep;CDDD;;
381;P25929;RF;MACCS;;
382;P25929;RF;MFC;;
383;P25929;RF;RDKit;;
384;P25929;RF;CDDD;;
385;P25929;XGB;MACCS;;
386;P25929;XGB;MFC;;
387;P25929;XGB;RDKit;;
388;P25929;XGB;CDDD;;
389;P25929;SVM;MACCS;x;
390;P25929;SVM;MFC;x;
391;P25929;SVM;RDKit;x;
392;P25929;SVM;CDDD;x;
393;P25929;Shallow;MACCS;x;
394;P25929;Shallow;MFC;;
395;P25929;Shallow;RDKit;;x
396;P25929;Shallow;CDDD;;
397;P25929;Deep;MACCS;;
398;P25929;Deep;MFC;;
399;P25929;Deep;RDKit;;
400;P25929;Deep;CDDD;;
401;P28335;RF;MACCS;;
402;P28335;RF;MFC;;
403;P28335;RF;RDKit;;
404;P28335;RF;CDDD;;
405;P28335;XGB;MACCS;;
406;P28335;XGB;MFC;;
407;P28335;XGB;RDKit;;
408;P28335;XGB;CDDD;;
409;P28335;SVM;MACCS;;
410;P28335;SVM;MFC;;
411;P28335;SVM;RDKit;;
412;P28335;SVM;CDDD;;
413;P28335;Shallow;MACCS;;
414;P28335;Shallow;MFC;;
415;P28335;Shallow;RDKit;;
416;P28335;Shallow;CDDD;;
417;P28335;Deep;MACCS;;
418;P28335;Deep;MFC;;
419;P28335;Deep;RDKit;;
420;P28335;Deep;CDDD;;
421;P28482;RF;MACCS;x;
422;P28482;RF;MFC;x;
423;P28482;RF;RDKit;x;
424;P28482;RF;CDDD;x;
425;P28482;XGB;MACCS;;
426;P28482;XGB;MFC;;x
427;P28482;XGB;RDKit;;
428;P28482;XGB;CDDD;;
429;P28482;SVM;MACCS;x;
430;P28482;SVM;MFC;x;
431;P28482;SVM;RDKit;x;
432;P28482;SVM;CDDD;x;
433;P28482;Shallow;MACCS;;
434;P28482;Shallow;MFC;x;
435;P28482;Shallow;RDKit;;
436;P28482;Shallow;CDDD;;
437;P28482;Deep;MACCS;x;
438;P28482;Deep;MFC;x;
439;P28482;Deep;RDKit;x;x
440;P28482;Deep;CDDD;x;x
441;P35968;RF;MACCS;;
442;P35968;RF;MFC;;
443;P35968;RF;RDKit;;
444;P35968;RF;CDDD;;
445;P35968;XGB;MACCS;;
446;P35968;XGB;MFC;;
447;P35968;XGB;RDKit;;
448;P35968;XGB;CDDD;;
449;P35968;SVM;MACCS;;
450;P35968;SVM;MFC;;
451;P35968;SVM;RDKit;;
452;P35968;SVM;CDDD;;
453;P35968;Shallow;MACCS;;
454;P35968;Shallow;MFC;;
455;P35968;Shallow;RDKit;;
456;P35968;Shallow;CDDD;;
457;P35968;Deep;MACCS;;
458;P35968;Deep;MFC;;
459;P35968;Deep;RDKit;;
460;P35968;Deep;CDDD;;
461;P41594;RF;MACCS;;
462;P41594;RF;MFC;;
463;P41594;RF;RDKit;;
464;P41594;RF;CDDD;;
465;P41594;XGB;MACCS;;
466;P41594;XGB;MFC;;
467;P41594;XGB;RDKit;;
468;P41594;XGB;CDDD;;
469;P41594;SVM;MACCS;x;x
470;P41594;SVM;MFC;;
471;P41594;SVM;RDKit;;
472;P41594;SVM;CDDD;;
473;P41594;Shallow;MACCS;;
474;P41594;Shallow;MFC;;
475;P41594;Shallow;RDKit;;
476;P41594;Shallow;CDDD;;
477;P41594;Deep;MACCS;;
478;P41594;Deep;MFC;;
479;P41594;Deep;RDKit;;
480;P41594;Deep;CDDD;;
481;P42345;RF;MACCS;;
482;P42345;RF;MFC;;
483;P42345;RF;RDKit;;
484;P42345;RF;CDDD;;
485;P42345;XGB;MACCS;;
486;P42345;XGB;MFC;;
487;P42345;XGB;RDKit;;
488;P42345;XGB;CDDD;;
489;P42345;SVM;MACCS;;
490;P42345;SVM;MFC;;
491;P42345;SVM;RDKit;;
492;P42345;SVM;CDDD;;
493;P42345;Shallow;MACCS;;
494;P42345;Shallow;MFC;;
495;P42345;Shallow;RDKit;;
496;P42345;Shallow;CDDD;;
497;P42345;Deep;MACCS;;
498;P42345;Deep;MFC;;
499;P42345;Deep;RDKit;;
500;P42345;Deep;CDDD;;
501;P47871;RF;MACCS;;
502;P47871;RF;MFC;;
503;P47871;RF;RDKit;;
504;P47871;RF;CDDD;;
505;P47871;XGB;MACCS;;
506;P47871;XGB;MFC;;
507;P47871;XGB;RDKit;;
508;P47871;XGB;CDDD;;
509;P47871;SVM;MACCS;;
510;P47871;SVM;MFC;;
511;P47871;SVM;RDKit;;
512;P47871;SVM;CDDD;;
513;P47871;Shallow;MACCS;;
514;P47871;Shallow;MFC;;x
515;P47871;Shallow;RDKit;;
516;P47871;Shallow;CDDD;;
517;P47871;Deep;MACCS;;
518;P47871;Deep;MFC;;
519;P47871;Deep;RDKit;;
520;P47871;Deep;CDDD;;
521;P49146;RF;MACCS;x;
522;P49146;RF;MFC;x;
523;P49146;RF;RDKit;x;
524;P49146;RF;CDDD;x;
525;P49146;XGB;MACCS;;
526;P49146;XGB;MFC;;
527;P49146;XGB;RDKit;;
528;P49146;XGB;CDDD;;
529;P49146;SVM;MACCS;x;
530;P49146;SVM;MFC;x;
531;P49146;SVM;RDKit;x;
532;P49146;SVM;CDDD;x;
533;P49146;Shallow;MACCS;;
534;P49146;Shallow;MFC;;
535;P49146;Shallow;RDKit;;
536;P49146;Shallow;CDDD;;
537;P49146;Deep;MACCS;x;
538;P49146;Deep;MFC;;x
539;P49146;Deep;RDKit;;
540;P49146;Deep;CDDD;x;
541;P61169;RF;MACCS;;
542;P61169;RF;MFC;;
543;P61169;RF;RDKit;;
544;P61169;RF;CDDD;;
545;P61169;XGB;MACCS;;
546;P61169;XGB;MFC;;
547;P61169;XGB;RDKit;;
548;P61169;XGB;CDDD;;
549;P61169;SVM;MACCS;;
550;P61169;SVM;MFC;;
551;P61169;SVM;RDKit;;
552;P61169;SVM;CDDD;;
553;P61169;Shallow;MACCS;;
554;P61169;Shallow;MFC;;
555;P61169;Shallow;RDKit;;
556;P61169;Shallow;CDDD;;
557;P61169;Deep;MACCS;;
558;P61169;Deep;MFC;;
559;P61169;Deep;RDKit;;
560;P61169;Deep;CDDD;;
561;Q05397;RF;MACCS;x;
562;Q05397;RF;MFC;x;
563;Q05397;RF;RDKit;x;
564;Q05397;RF;CDDD;x;
565;Q05397;XGB;MACCS;;
566;Q05397;XGB;MFC;;
567;Q05397;XGB;RDKit;;
568;Q05397;XGB;CDDD;;
569;Q05397;SVM;MACCS;x;x
570;Q05397;SVM;MFC;x;x
571;Q05397;SVM;RDKit;x;x
572;Q05397;SVM;CDDD;x;x
573;Q05397;Shallow;MACCS;x;x
574;Q05397;Shallow;MFC;;
575;Q05397;Shallow;RDKit;;x
576;Q05397;Shallow;CDDD;;x
577;Q05397;Deep;MACCS;;
578;Q05397;Deep;MFC;;
579;Q05397;Deep;RDKit;;
580;Q05397;Deep;CDDD;;
581;Q16602;RF;MACCS;;
582;Q16602;RF;MFC;;
583;Q16602;RF;RDKit;x;
584;Q16602;RF;CDDD;x;
585;Q16602;XGB;MACCS;;x
586;Q16602;XGB;MFC;;x
587;Q16602;XGB;RDKit;;
588;Q16602;XGB;CDDD;;
589;Q16602;SVM;MACCS;x;x
590;Q16602;SVM;MFC;x;x
591;Q16602;SVM;RDKit;x;
592;Q16602;SVM;CDDD;x;
593;Q16602;Shallow;MACCS;x;x
594;Q16602;Shallow;MFC;;
595;Q16602;Shallow;RDKit;;
596;Q16602;Shallow;CDDD;;
597;Q16602;Deep;MACCS;;
598;Q16602;Deep;MFC;;x
599;Q16602;Deep;RDKit;;
600;Q16602;Deep;CDDD;;
601;P24941;RF;MACCS;;
602;P24941;RF;MFC;;
603;P24941;RF;RDKit;;
604;P24941;RF;CDDD;;
605;P24941;XGB;MACCS;;
606;P24941;XGB;MFC;;
607;P24941;XGB;RDKit;;
608;P24941;XGB;CDDD;;
609;P24941;SVM;MACCS;;
610;P24941;SVM;MFC;;
611;P24941;SVM;RDKit;;
612;P24941;SVM;CDDD;;
613;P24941;Shallow;MACCS;;
614;P24941;Shallow;MFC;;
615;P24941;Shallow;RDKit;;
616;P24941;Shallow;CDDD;;
617;P24941;Deep;MACCS;;
618;P24941;Deep;MFC;;
619;P24941;Deep;RDKit;;
620;P24941;Deep;CDDD;;
621;Q92731;RF;MACCS;;
622;Q92731;RF;MFC;;
623;Q92731;RF;RDKit;;
624;Q92731;RF;CDDD;;
625;Q92731;XGB;MACCS;;
626;Q92731;XGB;MFC;;
627;Q92731;XGB;RDKit;;
628;Q92731;XGB;CDDD;;
629;Q92731;SVM;MACCS;;
630;Q92731;SVM;MFC;;x
